speaker,file,mfcc_1_mean,mfcc_1_std,mfcc_2_mean,mfcc_2_std,mfcc_3_mean,mfcc_3_std,mfcc_4_mean,mfcc_4_std,mfcc_5_mean,mfcc_5_std,mfcc_6_mean,mfcc_6_std,mfcc_7_mean,mfcc_7_std,mfcc_8_mean,mfcc_8_std,mfcc_9_mean,mfcc_9_std,mfcc_10_mean,mfcc_10_std,mfcc_11_mean,mfcc_11_std,mfcc_12_mean,mfcc_12_std,mfcc_13_mean,mfcc_13_std,centroid_mean,centroid_std,bandwidth_mean,bandwidth_std,rolloff_mean,rolloff_std,zcr_mean,zcr_std,rms_mean,rms_std
Gabriel,Gabriel_Gabriel confirm transaction_pitch.wav,-317.4167,95.04674,123.241486,40.52782,-16.632639,26.774916,40.778774,15.744502,0.4256487,15.404217,-0.39763117,14.471189,0.15286532,13.099409,-10.904553,14.441525,1.8408785,11.972754,4.3357573,11.150892,9.699697,9.36209,-0.6515586,6.1726575,-2.0550456,7.105557,1710.9571601881544,774.7937151177125,1912.4726658170005,466.50150114586955,3521.0467998798076,1521.4393678364452,0.08366302751068376,0.0629944815115188,0.029849896,0.027008569
Gabriel,Gabriel_Gabriel confirm transaction_stretch.wav,-325.0099,94.98287,123.95339,43.336037,-11.294169,28.053694,30.132898,13.90807,18.252031,11.239173,-7.6148715,20.650545,9.50799,12.099243,-10.150327,12.974819,-5.247271,10.213529,-3.6140392,10.832926,2.816094,9.239926,9.658146,10.069509,-1.6364359,6.843737,1746.5610137080307,1096.3469783742712,1976.7293895068435,693.6614186810538,3510.6142790421195,2149.3510364815825,0.09054786571557971,0.08820222702459399,0.032285728,0.03266914
Gaddiel,Gaddiel_Yes approve G1_noise.wav,-289.19296,31.231234,16.331644,31.343744,17.28964,19.30978,12.569072,15.844922,6.450344,8.602493,5.6364255,7.57921,-0.96735555,8.696621,-3.3229468,9.323541,-3.6050646,7.751825,-0.7980442,5.603808,-2.9204123,8.18808,-3.1886754,7.0175185,-0.17895903,4.9928865,4680.003601418008,1135.2310995851922,3234.8454836812634,262.09807935770806,8675.999317354368,966.1868403221664,0.3090630688713592,0.1808271924365697,0.016559362,0.016417101
Gaddiel,Gaddiel_Yes approve G1_pitch.wav,-521.5745,137.63803,74.69369,66.01641,36.035564,31.147125,21.184952,21.188623,5.0147476,12.8403635,4.054088,11.085027,-9.750954,18.255966,-9.3700695,14.512907,-0.7854059,6.7541585,-2.4882717,12.652785,-5.659395,12.75076,10.670044,10.003759,5.6768456,7.7613497,2162.189048285297,2042.2094933007793,2077.3029972309146,914.6880597165065,3976.0118799302186,3351.961576339459,0.12127863319174757,0.17714957895657732,0.010445789,0.01266897
Gaddiel,Gaddiel_Yes approve G1_stretch.wav,-529.24426,138.53127,73.89679,66.851776,35.13144,29.702919,27.630632,21.965343,8.407946,11.219865,11.326927,16.694262,-0.7253965,12.225417,-6.543655,14.612455,-6.775266,10.229359,4.020614,6.1593103,-7.8374486,13.030628,-4.2602654,8.693686,5.0302405,6.692483,2013.8755706841207,1882.2132180592296,2011.3896937109996,885.9367545035744,3695.768362576844,3183.94906622185,0.10751793032786885,0.15892993235106867,0.010142281,0.011922845
Gaddiel,Gaddiel_confirm transaction G1_noise.wav,-287.62073,36.1625,21.66627,33.777557,8.877921,15.02021,5.8213105,9.92422,5.3071795,7.024919,4.0520635,6.0742035,0.20975949,3.842647,-4.6669855,8.353344,-5.8185496,9.217039,-1.0846635,7.2443614,-1.1594921,5.6478615,-2.1271825,5.837975,0.642655,4.692849,4647.6774507722575,1055.9011046392618,3248.691806993014,174.56934316054668,8710.427227457061,982.6546860449466,0.34238579437022904,0.14064967485048008,0.012495783,0.012224618
Gaddiel,Gaddiel_confirm transaction G1_pitch.wav,-527.39105,149.44913,80.76956,56.210815,14.828766,27.6879,15.818851,16.218826,7.813169,10.739693,7.3299265,8.508114,0.22393525,14.302946,-11.132871,23.645067,1.4058429,11.687023,6.7206154,8.971719,-3.1978066,10.582423,5.4753237,8.143819,11.792963,7.4835896,1552.9940192693941,1202.8812739657071,2030.927042373951,793.3648845637927,3036.017265028626,2649.2891636175323,0.06970121660305344,0.08687081762838655,0.0075947274,0.0106987655
Gaddiel,Gaddiel_confirm transaction G1_stretch.wav,-544.04517,156.00975,88.85388,58.689476,18.560287,28.356339,16.83199,17.194666,8.197462,13.679952,8.898028,10.188367,8.139755,9.847048,-2.576547,16.0208,-9.737297,21.103727,7.341827,9.227635,0.84656334,9.614115,-2.7002947,9.323405,-2.0340505,9.468124,1498.7502976738142,1132.9074042765812,2027.6673020950848,801.0173856871279,3030.2390358664775,2517.4985126117817,0.06229707792207792,0.08280575798983597,0.007670372,0.011233305
Gaddiel,Gaddiel_confirm transaction G2_noise.wav,-289.44235,33.083622,20.290867,30.728958,11.019069,16.48886,7.995553,10.04837,4.097403,7.374075,3.6979992,5.502087,2.3517327,4.205421,-2.2008324,8.082355,-4.848906,9.273925,-2.16938,7.988677,-2.4442205,6.6782904,-1.7341074,5.52719,0.41822672,4.586411,4674.8291382499865,990.9738907245754,3265.4796422460868,152.9521595085367,8770.570775082237,787.2409496187464,0.3420281661184211,0.1412733688347869,0.011780295,0.0096869
Gaddiel,Gaddiel_confirm transaction G2_pitch.wav,-557.64453,171.02345,97.34951,48.405495,22.505022,25.63026,16.349947,19.305267,4.6065116,10.446803,7.906359,9.128675,5.5611367,15.77034,-11.37939,22.268944,-1.1079357,11.752043,3.3600385,10.267519,-3.0256915,8.572013,6.4828568,9.292987,11.329228,6.173229,1541.993425787719,1091.168439611779,2087.704081633435,718.6079986268693,3031.810238486842,2465.23271516725,0.0666742539943609,0.0799724714467622,0.0064762104,0.0073722145
Gaddiel,Gaddiel_confirm transaction G2_stretch.wav,-569.0523,171.97675,101.4017,50.169304,23.976416,28.82414,20.53275,18.11431,5.175366,14.555803,7.5287156,10.995916,10.486565,10.253594,0.8590437,14.454909,-11.031889,20.612324,7.68739,8.810769,-2.742004,12.997348,-1.498306,7.1760488,-1.2615706,9.9268265,1457.5258152012552,1042.7898957745963,2038.777360593956,703.5449940752922,2796.7627892127402,2319.5253776856252,0.05971116286057692,0.07766956723144873,0.00631335,0.0072058025
Gaddiel,Gaddiel_yes approve G2_noise.wav,-300.83542,25.986174,9.597314,25.824738,12.280553,15.856214,10.04862,13.068781,4.783677,9.039938,4.120817,5.625206,0.5381025,6.222448,-1.2436256,6.4790106,-0.9976116,5.9520636,-1.100172,5.7800765,-0.8707933,6.5556297,-0.2547254,5.1552644,0.67293555,4.532367,4998.874273396953,892.7880334953758,3238.58777684324,192.07399035793125,8996.288494731105,661.8808325784894,0.390625,0.13388578309451263,0.010167931,0.0091950875
Gaddiel,Gaddiel_yes approve G2_pitch.wav,-604.6672,140.58849,99.63316,58.34688,40.864113,24.990414,15.511292,24.047201,1.0351921,11.5060425,9.050624,10.787806,1.1831658,19.1308,-2.3674936,17.41859,3.4402494,6.332138,-0.93410933,11.089887,-1.4368038,7.7828417,6.371086,10.138773,9.045316,5.403596,1542.9308977168462,1703.8563920654958,1909.7853399266226,724.4719464958356,2701.832757994186,3018.65978850689,0.07960876937984496,0.15011642534995975,0.0053098327,0.006995102
Gaddiel,Gaddiel_yes approve G2_stretch.wav,-610.57935,141.09528,93.552925,58.56082,44.628216,25.942356,21.783545,20.807707,3.995927,14.074634,6.68428,12.124918,6.0013156,12.167841,-2.2474868,17.712574,0.7730401,11.352228,4.6835084,7.5833135,-2.0899599,10.435702,-1.2255701,6.5373707,0.9234368,7.6502385,1531.73824337947,1588.8715128507406,1980.0614077578969,731.6568631345226,2615.3633519222863,2875.6417374229923,0.07418662623355263,0.1378802834786958,0.0051147733,0.0068629608
